id,nombre,categoria,precio,marca,descripcion,caracteristicas,uso_recomendado,stock
HOME001,Aspiradora Robot Roomba j7+,Electrodomésticos,799.99,iRobot,"Aspiradora robot inteligente con vaciado automático, mapeo inteligente y evitación de obstáculos con IA.","Vaciado automático 60 días|Mapeo inteligente|Evita cables y excrementos|App móvil|Compatible Alexa/Google|Batería 90 min",Limpieza automatizada del hogar,15
HOME002,Cafetera Nespresso Vertuo,Electrodomésticos,199.99,Nespresso,"Cafetera de cápsulas con tecnología Centrifusion para café y espresso de calidad barista en casa.","Sistema Centrifusion|5 tamaños de taza|Calentamiento 30 seg|Depósito 1.7L|Cápsulas Vertuo|Apagado automático",Amantes del café en casa,28
HOME003,Freidora de Aire Philips XXL,Electrodomésticos,299.99,Philips,"Freidora de aire de gran capacidad (7.3L) con tecnología Rapid Air para cocinar con hasta 90% menos grasa.","Capacidad 7.3L|Tecnología Rapid Air|Temperatura hasta 200°C|App con recetas|Pantalla táctil|Fácil limpieza",Familias que buscan cocina saludable,20
HOME004,Purificador de Aire Dyson,Electrodomésticos,549.99,Dyson,"Purificador y ventilador 2 en 1 con filtro HEPA H13 que captura 99.97% de partículas y alérgenos.","Filtro HEPA H13|Sensor de calidad aire|Modo automático|Oscilación 350°|Control por app|Silencioso",Personas con alergias o mascotas,12
HOME005,Colchón Memory Foam Queen,Muebles,699.99,Zinus,"Colchón de espuma viscoelástica de 30cm de grosor con tecnología de enfriamiento y soporte ergonómico.","Espuma memoria 30cm|Tecnología enfriamiento|Certificado CertiPUR|Funda lavable|Garantía 10 años|Tamaño Queen",Personas que buscan mejor descanso,18
HOME006,Sofá Modular 3 Plazas,Muebles,1299.99,IKEA,"Sofá modular tapizado en tela gris con chaise longue reversible y almacenamiento integrado.","Configuración modular|Chaise reversible|Almacenamiento bajo asiento|Tela lavable|Estructura madera|Incluye cojines",Salas de estar medianas a grandes,8
HOME007,Mesa de Comedor Extensible,Muebles,499.99,West Elm,"Mesa de comedor de madera maciza con extensión para 6-8 personas, acabado nogal.","Madera maciza nogal|Extensible 6-8 personas|180-240cm|Patas cónicas|Fácil montaje|Diseño mid-century",Comedores familiares,10
HOME008,Lámpara Inteligente Philips Hue,Iluminación,199.99,Philips,"Kit de iluminación inteligente con 4 bombillas LED de colores y puente de conexión.","4 bombillas LED color|16 millones colores|Control por app|Compatible Alexa/Google|Programación horarios|Sincronización música",Automatización del hogar,25
HOME009,Termostato Inteligente Nest,Domótica,249.99,Google,"Termostato inteligente que aprende tus preferencias y optimiza el consumo energético.","Aprendizaje automático|Control remoto|Ahorro energía 20%|Compatible HVAC|Pantalla táctil|Informes consumo",Control climático eficiente,16
HOME010,Robot Aspirador y Fregasuelos,Electrodomésticos,449.99,Roborock,"Robot 2 en 1 que aspira y friega con navegación láser y mapeo multi-piso.","Aspirado y fregado|Navegación láser LiDAR|Mapeo multi-piso|Succión 2500Pa|Batería 180 min|App control",Limpieza completa automatizada,14

